Altium Designer Pick and Place Locations
D:\3_HCMUT\10_ALtium_book\Lab209b3_Altium_tutorial\ProjectVD\01_DESIGN_full_thamkhao\Project Outputs for AUSB\Pick Place for AUSB_PCB.txt

========================================================================================================================
File Design Information:

Date:       02/03/26
Time:       11:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment               Layer    Footprint                          Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                              
J5         JP8                   TopLayer JP8-C1T                            74.6000      75.4900      90       ""                                                                                                                                                       
J3         JP8                   TopLayer JP8-C1T                            73.6000      43.1300      90       ""                                                                                                                                                       
J2         0473460001            TopLayer 47346-0001_MOL                     6.8300       38.6494      270      "No Description Available"                                                                                                                               
C55        0.1uF/6.3V            TopLayer CAP_C_1608X80                      38.4000      60.9000      0        CAPC                                                                                                                                                     
C54        0.1uF/6.3V            TopLayer CAP_C_1608X80                      42.9000      60.9000      180      CAPC                                                                                                                                                     
U7         ISO7721DR             TopLayer SOIC127P602X173-8N                 40.6650      64.9650      180      "Robust EMC, dual-channel, 1/1, reinforced digital isolator 8-SOIC -55 to 125"                                                                           
C53        4.7uF/6.3V            TopLayer CAP_MP_1608X90                     43.1000      4.1000       270      CAPP                                                                                                                                                     
C52        4.7uF/6.3V            TopLayer CAP_MP_1608X90                     33.9000      4.1000       270      CAPP                                                                                                                                                     
C51        0.1uF/6.3V            TopLayer CAP_C_1608X80                      34.3750      25.2000      90       CAPC                                                                                                                                                     
C50        0.1uF/6.3V            TopLayer CAP_C_1608X80                      32.9750      25.2000      90       CAPC                                                                                                                                                     
C49        0.1uF/6.3V            TopLayer CAP_C_1608X80                      35.3000      4.3000       270      CAPC                                                                                                                                                     
C48        0.1uF/6.3V            TopLayer CAP_C_1608X80                      36.7000      4.3000       270      CAPC                                                                                                                                                     
C47        0.1uF/6.3V            TopLayer CAP_C_1608X80                      41.7000      4.3000       270      CAPC                                                                                                                                                     
C46        0.1uF/6.3V            TopLayer CAP_C_1608X80                      40.3000      4.3000       270      CAPC                                                                                                                                                     
C27        0.1uF/6.3V            TopLayer CAP_C_1608X80                      38.9000      4.3000       270      CAPC                                                                                                                                                     
C45        0.1uF/6.3V            TopLayer CAP_C_1608X80                      51.0000      51.7000      0        CAPC                                                                                                                                                     
C44        0.1uF/6.3V            TopLayer CAP_C_1608X80                      45.7000      29.0000      270      "4.7 µF ±20% 6.3V Ceramic Capacitor X7T 0402 (1005 Metric): GRT155D70J475ME13J"                                                                          
C43        0.1uF/6.3V            TopLayer CAP_C_1608X80                      22.7000      35.3000      180      "4.7 µF ±20% 6.3V Ceramic Capacitor X7T 0402 (1005 Metric): GRT155D70J475ME13J"                                                                          
C3         0.1uF/10V             TopLayer CAP_C_1608X80                      27.3000      78.5000      90       CAP_Chip                                                                                                                                                 
C5         10uF/16V              TopLayer CAP_MP_2012X170                    10.7000      64.0000      90       CAP_Polarization                                                                                                                                         
C4         10uF/16V              TopLayer CAP_MP_2012X170                    10.7000      67.6000      270      CAP_Polarization                                                                                                                                         
